Generation,Filled_Cells,Coverage_%,Best_Fitness
1,3,3.0,0.1551
2,4,4.0,0.1076
3,4,4.0,0.1076
4,4,4.0,0.1076
5,4,4.0,0.106
6,4,4.0,0.1059
7,4,4.0,0.1059
8,4,4.0,0.1059
9,4,4.0,0.1059
10,4,4.0,0.1005
11,4,4.0,0.0979
12,4,4.0,0.0979
13,4,4.0,0.0967
14,4,4.0,0.0967
15,4,4.0,0.094
16,4,4.0,0.094
17,4,4.0,0.094
18,4,4.0,0.094
19,4,4.0,0.094
20,4,4.0,0.0783
21,4,4.0,0.0783
22,4,4.0,0.0783
23,4,4.0,0.0783
24,4,4.0,0.0783
25,4,4.0,0.0783
26,4,4.0,0.0783
27,4,4.0,0.0783
28,4,4.0,0.0783
29,4,4.0,0.0783
30,4,4.0,0.0783
31,4,4.0,0.0783
32,4,4.0,0.0783
33,4,4.0,0.0783
34,4,4.0,0.0783
35,4,4.0,0.0783
36,4,4.0,0.0783
37,4,4.0,0.0783
38,4,4.0,0.0783
39,4,4.0,0.0783
40,4,4.0,0.0783
41,4,4.0,0.0783
42,4,4.0,0.0765
43,4,4.0,0.0765
44,4,4.0,0.0765
45,4,4.0,0.0765
46,4,4.0,0.0765
47,4,4.0,0.0765
48,4,4.0,0.0765
49,4,4.0,0.0765
50,4,4.0,0.0765
51,4,4.0,0.0765
52,4,4.0,0.0765
53,4,4.0,0.0765
54,4,4.0,0.0765
55,4,4.0,0.0765
56,4,4.0,0.0751
57,4,4.0,0.0751
58,4,4.0,0.0751
59,4,4.0,0.0751
60,4,4.0,0.0751
61,4,4.0,0.0751
62,4,4.0,0.0751
63,4,4.0,0.0751
64,4,4.0,0.0751
65,4,4.0,0.0751
66,4,4.0,0.0751
67,4,4.0,0.0751
68,4,4.0,0.0751
69,4,4.0,0.0751
70,4,4.0,0.0751
71,4,4.0,0.0743
72,4,4.0,0.0743
73,4,4.0,0.0743
74,4,4.0,0.0743
75,4,4.0,0.0743
76,4,4.0,0.0743
77,4,4.0,0.0743
78,4,4.0,0.0743
79,4,4.0,0.0743
80,4,4.0,0.0743
81,4,4.0,0.0743
82,4,4.0,0.0743
83,4,4.0,0.0705
84,4,4.0,0.0705
85,4,4.0,0.07
86,4,4.0,0.07
87,4,4.0,0.07
88,4,4.0,0.07
89,4,4.0,0.07
90,4,4.0,0.07
91,4,4.0,0.07
92,4,4.0,0.07
93,4,4.0,0.07
94,4,4.0,0.07
95,4,4.0,0.07
96,4,4.0,0.07
97,4,4.0,0.07
98,4,4.0,0.07
99,4,4.0,0.07
100,4,4.0,0.07
