Generation,Filled_Cells,Coverage_%,Best_Fitness
1,4,4.0,0.1196
2,5,5.0,0.1196
3,5,5.0,0.1196
4,5,5.0,0.1196
5,5,5.0,0.1196
6,6,6.0,0.1196
7,6,6.0,0.1196
8,6,6.0,0.1196
9,6,6.0,0.1196
10,6,6.0,0.1196
11,6,6.0,0.1196
12,6,6.0,0.1196
13,6,6.0,0.1196
14,6,6.0,0.1196
15,6,6.0,0.1196
16,6,6.0,0.1196
17,6,6.0,0.1196
18,6,6.0,0.1196
19,6,6.0,0.1196
20,6,6.0,0.1196
21,6,6.0,0.1196
22,6,6.0,0.1196
23,6,6.0,0.1196
24,6,6.0,0.1196
25,6,6.0,0.1196
26,6,6.0,0.1196
27,7,7.0,0.1196
28,8,8.0,0.1196
29,8,8.0,0.1196
30,8,8.0,0.1196
31,8,8.0,0.1196
32,8,8.0,0.1196
33,8,8.0,0.1196
34,8,8.0,0.1196
35,8,8.0,0.1196
36,8,8.0,0.1196
37,9,9.0,0.1196
38,9,9.0,0.1196
39,9,9.0,0.1196
40,9,9.0,0.1196
41,9,9.0,0.1196
42,9,9.0,0.1196
43,9,9.0,0.1196
44,9,9.0,0.1196
45,10,10.0,0.1196
46,10,10.0,0.1196
47,10,10.0,0.1196
48,10,10.0,0.1196
49,10,10.0,0.1196
