Generation,Cell,Fitness,X,Y
1,"(9,0)",760.0052,55.24,-52.2
1,"(9,0)",727.1545,55.01,-47.56
1,"(9,0)",694.0107,54.87,-42.49
1,"(9,0)",665.2379,54.9,-37.58
1,"(9,0)",639.5503,55.02,-32.6
1,"(9,0)",615.3277,55.03,-27.54
1,"(9,0)",595.4802,55.11,-22.57
1,"(9,0)",577.2816,54.99,-17.59
1,"(9,0)",563.7421,54.92,-12.73
1,"(9,0)",554.9833,54.97,-7.67
1,"(9,2)",548.2228,54.77,-2.46
1,"(9,7)",549.0383,54.86,2.38
1,"(9,9)",553.2023,54.84,7.32
1,"(9,0)",547.7163,49.98,-22.41
1,"(9,0)",530.8955,50.06,-17.7
1,"(9,0)",516.4977,50.1,-12.58
1,"(9,0)",503.5437,49.81,-7.4
1,"(9,2)",501.0561,50.04,-2.54
1,"(9,7)",502.1578,50.15,2.59
1,"(9,9)",504.3623,49.92,7.23
1,"(9,0)",502.7452,45.1,-22.23
1,"(9,0)",481.8874,45.04,-17.15
1,"(9,0)",467.3071,45.03,-12.49
1,"(9,0)",453.4744,44.72,-7.55
1,"(9,2)",452.5297,45.18,-2.54
1,"(9,7)",449.7559,44.91,2.42
1,"(9,9)",457.4792,45.16,7.35
1,"(9,0)",436.6622,39.94,-17.65
1,"(9,0)",420.167,40.17,-12.34
1,"(9,0)",404.494,39.76,-7.43
1,"(9,2)",401.189,40.05,-2.38
1,"(9,7)",400.8164,40.0,2.52
1,"(9,9)",407.3449,40.04,7.52
1,"(9,0)",391.2083,35.01,-17.47
1,"(9,0)",369.0726,34.85,-12.14
1,"(9,0)",357.3406,34.95,-7.46
1,"(9,2)",349.7599,34.88,-2.57
1,"(9,7)",351.6483,35.08,2.41
1,"(9,9)",358.396,35.04,7.52
1,"(9,0)",324.37,30.07,-12.18
1,"(9,0)",310.0647,30.04,-7.71
1,"(9,2)",302.3732,30.12,-2.66
1,"(9,7)",302.3763,30.15,2.29
1,"(9,9)",306.2903,29.72,7.41
1,"(9,0)",303.7883,24.85,-17.48
1,"(9,0)",277.3505,24.75,-12.53
1,"(9,0)",258.9354,24.81,-7.43
1,"(9,2)",250.9261,24.97,-2.48
1,"(9,7)",250.8469,24.95,2.67
1,"(9,9)",260.7421,25.01,7.39
1,"(9,0)",238.6771,20.26,-12.63
1,"(9,0)",214.1987,20.03,-7.59
1,"(9,2)",201.4659,20.02,-2.24
1,"(9,6)",197.6809,19.71,1.6
1,"(9,9)",215.1771,19.87,8.27
1,"(9,0)",196.725,15.2,-12.49
1,"(9,0)",169.452,15.12,-7.66
1,"(9,2)",151.5471,14.94,-2.55
1,"(9,7)",149.9009,14.8,2.4
1,"(9,9)",167.6846,15.01,7.49
1,"(9,0)",162.3995,10.11,-12.72
1,"(9,0)",128.7281,10.23,-7.82
1,"(9,2)",104.5524,10.19,-2.36
1,"(9,7)",102.4127,9.91,2.58
1,"(9,9)",128.589,10.53,7.39
1,"(9,0)",89.2952,5.01,-7.4
1,"(9,2)",58.0276,5.19,-2.59
1,"(9,7)",57.4587,5.02,2.8
1,"(9,9)",95.0119,5.48,7.77
1,"(5,0)",525.8348,0.08,-52.59
1,"(4,0)",479.4169,-0.09,-47.94
1,"(5,0)",424.7284,0.01,-42.47
1,"(5,0)",373.7656,0.08,-37.38
1,"(5,0)",323.2956,0.06,-32.33
1,"(4,0)",275.0932,-0.14,-27.51
1,"(5,0)",225.6472,0.04,-22.57
1,"(4,0)",172.1981,-0.14,-17.22
1,"(5,0)",124.1574,0.03,-12.42
1,"(5,0)",75.7455,0.08,-7.58
1,"(5,2)",27.0535,0.15,-2.7
1,"(5,7)",27.8634,0.14,2.79
1,"(5,9)",74.087,0.16,7.41
1,"(4,9)",126.8623,-0.03,12.69
1,"(0,0)",526.6734,-4.94,-52.44
1,"(0,0)",475.6203,-5.15,-47.28
1,"(0,0)",426.3683,-5.05,-42.34
1,"(0,0)",378.5308,-4.81,-37.55
1,"(0,0)",328.4888,-4.97,-32.47
1,"(0,0)",280.9188,-5.13,-27.62
1,"(0,0)",232.2298,-5.15,-22.65
1,"(0,0)",179.1422,-4.81,-17.26
1,"(0,0)",133.7995,-4.88,-12.46
1,"(0,0)",89.4438,-5.16,-7.31
1,"(0,2)",53.089,-4.75,-2.37
1,"(0,7)",55.9384,-4.88,2.74
1,"(0,9)",90.266,-5.02,7.51
1,"(0,8)",501.6649,-50.06,3.36
